sentence,label
"who willingly walk into the nightmare of war not only to record the events for posterity , but to help us ",1
"once again , director chris columbus takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours . ",0
"is rather the way it introduces you to new , fervently held ideas and fanciful thinkers ",1
are n't - kids-cute sentimentality by a warmth that is n't faked and a stately sense of composition ,1
the extensive use of stock footage quickly becomes a tiresome cliché ,0
is as consistently engaging as it is revealing ,1
"was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one ( and no one ) . ",0
with the lazy material and the finished product 's unshapely look ,0
may take its sweet time to get wherever it 's going ,0
disappointed by a movie in a long time ,0
"that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop ",1
watchable up until the point where the situations and the dialogue spin hopelessly out of control -- that is to say ,0
never quite goes where you expect and often surprises you with unexpected comedy ,1
"issue a moratorium , effective immediately , on treacly films about inspirational prep-school professors and the children they so heartwarmingly motivate . ",1
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious ",0
"this wretchedly unfunny wannabe comedy is inane and awful - no doubt , it 's the worst movie i 've seen this summer ",0
"slightly sunbaked and summery mind , sex and lucia ",1
always keeping the balance between the fantastic and the believable ,1
"a star , nor why he keeps being cast in action films when none of them are ever any good ",0
she boxes these women 's souls right open for us . ,1
wish it would have just gone more over-the-top instead of trying to have it both ways . ,0
"invigorating , surreal , and resonant with a rainbow of emotion ",1
turns me into that annoying specimen of humanity that i usually dread encountering the most ,0
manages to string together enough charming moments to work . ,1
"hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare ",1
"informative , intriguing , observant , often touching ",1
"even if you 're an agnostic carnivore , you can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor . ",1
"a determined , ennui-hobbled slog that really does n't have much to say beyond the news flash that loneliness can make people act weird . ",0
-- an unpleasant debate that 's been given the drive of a narrative and that 's been acted out -- ,0
a film that are still looking for a common through-line ,0
"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill . ",0
"makes for perfectly acceptable , occasionally very enjoyable children 's entertainment ",1
he 's a better actor than a standup comedian . ,1
is like nothing we westerners have seen before . ,1
", pointless meditation on losers in a gone-to-seed hotel . ",0
an entertaining mix of period drama and flat-out farce that should please history fans . ,1
"rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations ",0
"love a disney pic with as little cleavage as this one has , ",1
is banal in its message and the choice of material ,0
"balance pointed , often incisive satire and unabashed sweetness , ",1
", the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans . ",1
"the movie is loaded with good intentions , but in his zeal to squeeze the action and our emotions into the all-too-familiar dramatic arc of the holocaust escape story , minac drains his movie of all individuality ",0
"is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice . ",0
"is reasonably entertaining , though it begins to drag two-thirds through , when the melodramatic aspects start to overtake the comedy . ",1
musty as one of the golden eagle 's carpets ,0
"one of the funniest motion pictures of the year , but ",1
"it 's about as convincing as any other arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic . ",0
attempts to fuse at least three dull plots into one good one . ,0
a beer with but they 're simply not funny performers ,0
"let 's see , a haunted house , a haunted ship , what 's next ... ghost blimp ? ",0
saw the potential success inherent in the mixture of bullock bubble and hugh goo ,1
the thought of watching this film with an audience full of teenagers fixating on its body humor and reinforcement of stereotypes ( of which they 'll get plenty ) ,0
may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie . ,0
"for all the time we spend with these people , we never really get inside of them . ",0
"does n't understand that the idea of exploiting molestation for laughs is funny , not actually exploiting it yourself ",0
that even slightly wised-up kids would quickly change the channel ,0
the throes of their first full flush of testosterone ,1
impart a message without bludgeoning the audience over the head ,1
enjoy a couple of great actors hamming it up ,1
is that it 's a brazenly misguided project ,0
the director treats us to an aimless hodgepodge ,0
", empire still has enough moments to keep it entertaining . ",1
's probably not easy to make such a worthless film ,0
"it 's neither as sappy as big daddy nor as anarchic as happy gilmore or the waterboy , but it has its moments . ",1
"parochial , accessible to a chosen few , standoffish to everyone else , and smugly suggests a superior moral tone is more important than filmmaking skill ",0
has the chops of a smart-aleck film school brat and the imagination of a big kid ,1
going to make his debut as a film director ,1
to pass this stinker off as a scary movie ,0
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . ",0
the film with a creepy and dead-on performance ,1
"fuddled about motives and context , which drains it of the dramatic substance that would shake us in our boots ( or cinema seats ) ",0
"sodden and glum , even in those moments where it 's supposed to feel funny and light . ",0
squint to avoid noticing some truly egregious lip-non-synching ,0
actors you 're most likely to find on the next inevitable incarnation of the love boat ,0
has actually bothered to construct a real story this time ,1
the wounds of the tortured and self-conscious material ,0
"bears a grievous but obscure complaint against fathers , and circles it obsessively , without making contact ",0
represents an engaging and intimate first feature by a talented director ,1
"on courtroom movies , a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis ",1
"putting together familiar themes of family , forgiveness and love in a new way ",1
"which is good news to anyone who 's fallen under the sweet , melancholy spell of this unique director 's previous films ",1
to the storytelling instincts of a slightly more literate filmgoing audience ,1
are every bit as distinctive as his visuals ,1
dickens ' words and writer-director douglas mcgrath 's even-toned direction ,1
one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,0
format to make an old-fashioned nature film that educates viewers with words and pictures while entertaining them ,1
me want to pack raw dough in my ears ,0
who take as many drugs as the film 's characters ,0
's about as overbearing and over-the-top as the family ,0
"for engaging , imaginative filmmaking in its nearly 2 1/2 ",1
to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ,0
every individual will see the movie through the prism of his or her own beliefs and prejudices ,1
"a beyond-lame satire , teddy bears ' picnic ranks among the most pitiful directing debuts by an esteemed writer-actor . ",0
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness . ",1
becomes long and tedious like a classroom play in a college history course . ,0
"creates a portrait of two strong men in conflict , ",1
in the way the ivan character accepts the news of his illness so quickly but still finds himself unable to react ,0
"its hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick ",1
"evokes the frustration , the awkwardness and the euphoria of growing up ",1
"... a cheap , ludicrous attempt at serious horror . ",0
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1
is such that the movie does not do them justice ,0
that turns me into that annoying specimen of humanity that i usually dread encountering the most ,0
"instead go rent `` shakes the clown '' , a much funnier film with a similar theme and an equally great robin williams performance ",0
deem it necessary to document all this emotional misery ,0
"a chilly , remote , emotionally distant piece ... so dull that its tagline should be : ",0
through a dreary tract of virtually plotless meanderings ,0
looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale ,0
the essence of what it is to be ya-ya ,1
"when it comes out on video , then it 's the perfect cure for insomnia . ",0
returning director rob minkoff ... and screenwriter bruce joel rubin ... have done a fine job of updating white 's dry wit to a new age . ,1
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and ",1
"it might be ` easier ' to watch on video at home , but that should n't stop die-hard french film connoisseurs from going out and enjoying the big-screen experience . ",1
injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ,1
"rises above easy , cynical potshots at morally bankrupt characters ",1
if the movie knew what to do with him ,0
close enough in spirit to its freewheeling trash-cinema roots to be a breath of fresh air ,1
a low-key labor of love that strikes a very resonant chord ,1
"you can watch , giggle and get an adrenaline boost without feeling like you 've completely lowered your entertainment standards . ",1
"assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him ",1
"we never truly come to care about the main characters and whether or not they 'll wind up together , ",0
", the attention process tends to do a little fleeing of its own . ",0
a reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility . ,1
sci-fi drama that takes itself all too seriously . ,0
"it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , ",1
it is supremely unfunny and unentertaining to watch middle-age ,0
's just that it 's so not-at-all-good . ,0
fill this character study with poetic force and buoyant feeling ,1
"is a really cool bit -- the movie 's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized ",1
narrative filmmaking with a visually masterful work of quiet power ,1
"has none of the crackle of `` fatal attraction '' , `` 9 1/2 weeks '' , or even `` indecent proposal '' , and ",0
the problem is that the movie has no idea of it is serious or not . ,0
you 're likely wondering why you 've been watching all this strutting and posturing . ,0
"bread , my sweet has so many flaws it would be easy for critics to shred it . ",0
the filmmakers have made every effort to disguise it as an unimaginative screenwriter 's invention ,0
of those exceedingly rare films in which the talk alone is enough to keep us ,1
"the exploitative , clumsily staged violence overshadows everything , including most of the actors . ",1
"is , by itself , deserving of discussion ",1
"an astonishing voice cast ( excepting love hewitt ) , an interesting racial tension ",1
"is a brilliantly played , deeply unsettling experience . ",1
proves that not only blockbusters pollute the summer movie pool . ,0
the film is a very good viewing alternative for young women . ,1
"'s ) quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin ",1
"feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams ",0
"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea 's recent past and south korea 's future adds a much needed moral weight ",0
"like a teenybopper ed wood film , replete with the pubescent scandalous innuendo and the high-strung but flaccid drama ",0
the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` topless tutorial service ,0
"despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . ",0
because you 're one of the lucky few who sought it out ,1
"a very slow , uneventful ride around a pretty tattered old carousel . ",0
"comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case ",1
this franchise has not spawned a single good film . ,0
there are enough high points to keep this from being a complete waste of time ,1
", you may be surprised at the variety of tones in spielberg 's work . ",1
", someone , stop eric schaeffer before he makes another film . ",0
an undistinguished attempt to make a classic theater piece ,0
"interview with the assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its blair witch project real-time roots ",0
to make enough into ` an inspiring tale of survival wrapped in the heart-pounding suspense of a stylish psychological thriller ' ,1
struck me as unusually and unimpressively fussy and pretentious . ,0
it 's the very definition of epic adventure . ,1
"love may have been in the air onscreen , but i certainly was n't feeling any of it . ",0
nothing about the film -- with the possible exception of elizabeth hurley 's breasts -- is authentic . ,0
great piece to watch with kids and use to introduce video as art ,1
with too little excitement and zero compelling storyline ,0
convincing as this bland blank of a man with unimaginable demons ,0
i also wanted a little alien as a friend ! ,1
african-americans because of its broad racial insensitivity towards african-americans ,0
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role . ,1
"is n't a disaster , exactly , but a very handsomely produced let-down ",0
relays its universal points without lectures or confrontations ,1
looks and plays like a $ 40 million version of a game you 're more likely to enjoy on a computer ,0
no cliche escapes the perfervid treatment of gang warfare called ces wild . ,0
"it may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirable quality ",1
"the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial . ",0
a quiet family drama with a little bit of romance and a dose of darkness ,1
"is a decomposition of healthy eccentric inspiration and ambition -- wearing a cloak of unsentimental , straightforward text -- when it 's really an exercise in gross romanticization of the delusional personality type ",0
smarter and much funnier version of the old police academy flicks . ,1
"tom tykwer , director of the resonant and sense-spinning run lola run ",1
"it goes down easy , leaving virtually no aftertaste . ",1
in cinema history as the only movie ever in which the rest of the cast was outshined by ll cool j. ,0
remind one of a really solid woody allen film ,1
required viewing in university computer science departments for years to come ,1
becomes a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the papin sisters ,1
"a smart , steamy mix of road movie , coming-of-age story and political satire . ",1
stoops to having characters drop their pants for laughs and not the last time ,0
"unfortunately all the story gives us is flashing red lights , a rattling noise , and a bump on the head ",0
"the margin that gives viewers a chance to learn , to grow , to travel ",1
ellen pompeo sitting next to you for the ride ,1
"proof once again that if the filmmakers just follow the books , they ca n't go wrong . ",1
create an engaging story that keeps you guessing at almost every turn ,1
"admire this film for its harsh objectivity and refusal to seek our tears , our sympathies . ",1
"find a movie with a bigger , fatter heart than barbershop ",1
"the masses with star power , a pop-induced score and sentimental moments ",1
wish it would have just gone more over-the-top instead of trying to have it both ways ,0
attal 's hang-ups surrounding infidelity are so old-fashioned ,0
the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0
hong kong action cinema is still alive and kicking ,1
"miyazaki 's nonstop images are so stunning , and ",1
the original was n't a good movie but ,0
been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept ,0
happens that tells you there is no sense . ,0
"it puts washington , as honest working man john q. archibald , on a pedestal , then keeps lifting the pedestal higher . ",1
"'s super - violent , super-serious and super-stupid . ",0
", the production works more often than it does n't . ",1
to be the best espionage picture to come out in weeks ,1
"brown sugar signals director rick famuyiwa 's emergence as an articulate , grown-up voice in african-american cinema . ",1
uses the last act to reel in the audience ,1
's a whole heap of nothing at the core of this slight coming-of-age/coming-out tale ,0
unaware that it 's the butt of its own joke ,0
's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it ,1
"it wo n't hold up over the long haul , ",0
"a sweet , honest , and enjoyable comedy-drama ",1
"reminds me of a vastly improved germanic version of my big fat greek wedding -- with better characters , some genuine quirkiness and at least a measure of style ",1
a grand tour through 300 hundred years of russian cultural identity and a stunning technical achievement ,1
"the movie 's major and most devastating flaw is its reliance on formula , though , ",0
"could be looking at his 12th oscar nomination by proving that he 's now , more than ever , choosing his roles with the precision of the insurance actuary ",1
"next week , why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ? ",0
"'s the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep ",1
"brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",1
"littered with zero-dimensional , unlikable characters and hackneyed , threadbare comic setups . ",0
audience members will leave feeling as shaken as nesbitt 's cooper looks when the bullets stop flying ,1
morphs into a mundane '70s disaster flick . ,0
pointing his camera through the smeared windshield of his rental car ,0
that we really have n't had a good cheesy b-movie playing in theaters since ... well ... since last week 's reign of fire ,0
"everything about the quiet american is good , except its timing . ",1
"entertaining from start to finish , featuring a fall from grace that still leaves shockwaves ",1
work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns ,1
"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the proceedings simply by accident ",0
stays close to the ground in a spare and simple manner and ,1
to affirm love 's power to help people endure almost unimaginable horror ,1
"in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm ",1
cliched dialogue and perverse escapism a source of high hilarity ,0
just too silly and sophomoric to ensnare its target audience . ,0
"tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian ",0
the good girl is a film in which the talent is undeniable but the results are underwhelming . ,0
"the tears come during that final , beautiful scene ",1
"a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham ",1
", you feel alive - which is what they did ",1
"star trek was kind of terrific once , but now it is a copy of a copy of a copy . ",0
"tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet ",1
"leave you wanting more , not to mention leaving you with some laughs and a smile on your face ",1
"the leaping story line , shaped by director peter kosminsky into sharp slivers and cutting impressions ",1
"i found it slow , predictable and not very amusing . ",0
makes it interesting as a character study is the fact that the story is told from paul 's perspective ,1
"you 're not merely watching history , you 're engulfed by it . ",1
"your 20th outing shows off a lot of stamina and vitality , and get this ",1
"is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original ",0
"if this sappy script was the best the contest received , those rejected must have been astronomically bad ",0
"a creepy , intermittently powerful study of a self-destructive man ... about as unsettling to watch as an exploratory medical procedure or an autopsy . ",1
"this cinema verite speculation on the assassination of john f. kennedy may have been inspired by blair witch , ",0
is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes . ,0
the story and ensuing complications are too manipulative ,0
is a fudged opportunity of gigantic proportions -- a lunar mission with no signs of life ,0
his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum ,0
"fewer deliberate laughs , more inadvertent ones and stunningly trite songs ",0
possess the lack-of-attention span that we did at seventeen ,0
begins on a high note and sustains it beautifully . ,1
"well-directed and , for all its moodiness , ",1
"the hype , the celebrity , the high life , the conspiracies and the mystery ",1
"your interest , your imagination , your empathy ",1
"is we never really see her esther blossom as an actress , even though her talent is supposed to be growing . ",0
"are tops , with the two leads delivering oscar-caliber performances . ",1
his flick-knife diction in the role of roger swanson ,1
that 's because panic room is interested in nothing more than sucking you in ... and making you sweat . ,1
"while tattoo borrows heavily from both seven and the silence of the lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in . ",1
a fairly harmless but ultimately lifeless feature-length afterschool special . ,0
"in a big corner office in hell , satan is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7 . ",0
cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks ,0
to an impressive and highly entertaining celebration of its sounds ,1
the pleasures that it does afford may be enough to keep many moviegoers ,1
become just another situation romance about a couple of saps stuck in an inarticulate screenplay ,0
almodovar is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears . ' ,1
is they have a tendency to slip into hokum . ,0
a perfectly pleasant if slightly pokey comedy . ,1
completely awful iranian drama ... as much fun as a grouchy ayatollah in a cold mosque . ,0
"supposedly , pokemon ca n't be killed , but pokemon 4ever practically assures that the pocket monster movie franchise is nearly ready to keel over ",0
"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , ",1
drawn into the exotic world of belly dancing ,1
"aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships . ",0
"of failed jokes , twitchy acting , and general boorishness ",0
is that van wilder does little that is actually funny with the material . ,0
"would be great to see this turd squashed under a truck , preferably a semi ",0
"of the filmmakers who have directed him , especially the coen brothers and steven soderbergh ",1
have put together a bold biographical fantasia . ,1
captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty ,1
fest that 'll put hairs on your chest . ,1
"reminds us that , in any language , the huge stuff in life can usually be traced back to the little things . ",1
if the man from elysian fields is doomed by its smallness ,1
the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull ,0
the problem with all of this : it 's not really funny . ,0
"at times a bit melodramatic and even a little dated ( depending upon where you live ) , ignorant fairies is still quite good-natured and not a bad way to spend an hour or two . ",1
"you 'll be wistful for the testosterone-charged wizardry of jerry bruckheimer productions , especially because half past dead is like the rock on a wal-mart budget . ",0
excellent performances from jacqueline bisset and martha plimpton ,1
we find ourselves surprised at how much we care about the story ,1
"an even more predictable , cliche-ridden endeavor than its predecessor . ",0
does such a good job of it that family fundamentals gets you riled up ,1
"comes along only occasionally , one so unconventional , gutsy and perfectly ",1
"a fresh-faced , big-hearted and frequently funny thrill ",1
with the crisp clarity of a fall dawn ,1
"could have been crisper and punchier , but it 's likely to please audiences who like movies that demand four hankies ",1
is a compelling piece that demonstrates just how well children can be trained to live out and carry on their parents ' anguish ,1
"some of the visual flourishes are a little too obvious , but restrained and subtle storytelling , and fine performances make this delicate coming-of-age tale a treat . ",1
it 's goofy ( if not entirely wholesome ) fun ,1
as terrible as the synergistic impulse that created it ,0
what it would be like to be smack in the middle of a war zone armed with nothing but a camera ,1
marked by acute writing and a host of splendid performances . ,1
their idol 's energy and passion for detail ,1
to quibble with a flick boasting this many genuine cackles ,1
that a movie as artificial and soulless as the country bears owes its genesis to an animatronic display at disneyland ,0
possibilities which imbue the theme with added depth and resonance ,1
"is were it not for the striking , quietly vulnerable personality of ms. ambrose ",1
"tries too hard to be funny in a way that 's too loud , too goofy and too short of an attention span ",0
might just be the movie you 're looking for ,1
carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff ,0
conrad l. hall 's cinematography will likely be nominated for an oscar next year ,1
about the plight of american indians in modern america ,1
that perfectly captures the wonders and worries of childhood ,1
stitched together from stock situations and characters from other movies ,0
allows his cast members to make creative contributions to the story and dialogue . ,1
a matter of finding entertainment in the experiences of zishe and the fiery presence of hanussen ,1
"in more abundant supply in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo ",0
"finish , like a wet burlap sack of gloom ",0
"the real star of this movie is the score , as in the songs translate well to film ",1
"of `` his girl friday , '' maintaining a light touch while tackling serious themes ",1
"must be given to the water-camera operating team of don king , sonny miller , and michael stewart . ",0
making `` die another day '' one of the most entertaining bonds in years ,1
jackie chan movies are a guilty pleasure - ,1
"you 'll forget about it by monday , though , and ",0
"several cliched movie structures : the road movie , the coming-of-age movie , ",0
"klein , charming in comedies like american pie and dead-on in election , ",1
"sets animation back 30 years , musicals back 40 years and judaism back at least 50 . ",0
"is far-flung , illogical , and plain stupid ",0
the worthy successor to a better tomorrow and ,1
be burns 's strongest film since the brothers mcmullen ,1
are neither original nor are presented in convincing way ,0
"it 's at once laughable and compulsively watchable , in its committed dumbness . ",1
appears miserable throughout as he swaggers through his scenes ,0
articulates the tangled feelings of particular new yorkers deeply touched by an unprecedented tragedy . ,1
would make an excellent companion piece to the similarly themed ` the french lieutenant 's woman . ' ,1
"laugh-out-loud lines , adorably ditsy but heartfelt performances , and sparkling , ",1
"it follows the blair witch formula for an hour , in which we 're told something creepy and vague is in the works , and then it goes awry in the final 30 minutes . ",0
"considering that baird is a former film editor , the movie is rather choppy . ",0
in a fairly irresistible package full of privileged moments and memorable performances ,1
too long to turn his movie in an unexpected direction ,1
"an amateurish , quasi-improvised acting exercise shot on ugly digital video . ",0
're far better served by the source material ,0
is that they 're stuck with a script that prevents them from firing on all cylinders ,0
the action quickly sinks into by-the-numbers territory . ,0
"ballistic : ecks vs. sever also features terrible , banal dialogue ; convenient , hole-ridden plotting ; superficial characters and a rather dull , unimaginative car chase . ",0
"weaver and lapaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk . ",1
a good-natured ensemble comedy that tries hard to make the most of a bumper ,1
", straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . ",0
a recycled and dumbed-down version of love story ,0
do well to cram earplugs in their ears ,0
"a bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads as morose as teen pregnancy , rape and suspected murder ",0
breathes extraordinary life into the private existence of the inuit people ,1
"not easily and , in the end , not well enough ",0
"while the film is competent , it 's also uninspired , lacking the real talent and wit to elevate it beyond its formula to the level of classic romantic comedy to which it aspires . ",0
"that is n't this painfully forced , false and fabricated ",0
a feel-good movie that does n't give you enough to feel good about . ,0
"if divine secrets of the ya-ya sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances . ",0
showcases tom hanks as a depression era hit-man in this dark tale of revenge . ,1
"enjoyably dumb , sweet , and intermittently hilarious -- if you 've a taste for the quirky , steal a glimpse . ",1
"ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ",0
"has some of the funniest jokes of any movie this year , ",1
slip into the modern rut of narrative banality ,0
"more than anything else , kissing jessica stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake sleepless in seattle again and again . ",1
an imaginative filmmaker who can see the forest for the trees ,1
because ( the leads ) are such a companionable couple ,1
"the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it ",1
scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theaters ,0
"of romance , dancing , singing , and unforgettable characters ",1
views youthful affluence not as a lost ideal but a starting point . ,1
